ID_Client,Date_Inscription,Moyen_Paiement,Préférences,Evaluations_Chauffeurs,Préférences_Musique,Dépense_Totale,Nombre_Trajets,Compte_Vérifié
1,2019-07-05 16:09:26,Espèces,Famille,3.34,Pop,2283.02,56,True
2,2018-07-19 23:54:02,Carte de Crédit,Eco,2.86,Rock,4076.82,100,True
3,2021-09-29 09:27:00,Espèces,Eco,2.84,Aucune,3669.13,90,True
4,2018-10-05 07:31:38,PayPal,Standard,3.22,Classique,529.99,13,True
5,2020-06-23 17:14:00,Espèces,Standard,1.46,Classique,1386.12,34,False
6,2021-05-29 02:05:12,PayPal,Eco,4.24,Classique,693.06,17,False
7,2018-02-13 00:40:46,Carte de Crédit,Famille,3.4,Hip-Hop,3139.15,77,False
8,2019-12-18 23:25:53,Carte de Crédit,VIP,2.11,Classique,5870.61,144,True
9,2022-10-18 17:07:39,Espèces,Standard,3.43,Aucune,3832.21,94,True
10,2019-05-16 04:36:31,Espèces,VIP,1.14,Hip-Hop,7460.57,183,False
11,2019-09-29 16:38:47,Carte de Crédit,Famille,4.67,Hip-Hop,1916.1,47,True
12,2020-09-29 02:03:54,Espèces,VIP,4.49,Rock,3872.97,95,False
13,2021-06-04 07:17:05,PayPal,Standard,4.58,Pop,6767.51,166,True
14,2021-08-22 08:58:56,Carte de Crédit,Standard,1.88,Classique,6726.75,165,True
15,2022-02-01 03:16:23,PayPal,Standard,4.3,Rock,4566.03,112,True
16,2019-05-19 16:03:24,PayPal,Standard,2.02,Hip-Hop,4647.57,114,False
17,2022-08-07 23:10:26,PayPal,Famille,1.21,Pop,3220.68,79,False
18,2020-05-06 00:32:39,PayPal,Famille,3.47,Classique,163.07,4,False
19,2019-12-02 18:47:10,Carte de Crédit,Famille,3.71,Aucune,2853.77,70,True
20,2018-01-22 13:56:12,Carte de Crédit,VIP,3.66,Jazz,3179.92,78,True
21,2020-05-04 04:36:10,Carte de Crédit,Standard,1.31,Jazz,4647.57,114,True
22,2019-10-23 11:12:51,PayPal,Famille,4.21,Aucune,4688.34,115,True
23,2021-05-09 08:00:27,Espèces,Eco,1.56,Hip-Hop,1263.81,31,False
24,2018-05-27 04:04:44,PayPal,Famille,1.73,Pop,2323.78,57,True
25,2018-06-26 19:48:49,PayPal,VIP,4.98,Hip-Hop,7542.11,185,False
26,2018-08-22 16:20:54,Espèces,Eco,4.67,Hip-Hop,3383.76,83,True
27,2022-10-08 12:59:47,PayPal,Standard,4.35,Rock,81.54,2,True
28,2021-07-26 12:58:40,Carte de Crédit,VIP,3.47,Classique,2609.16,64,True
29,2020-01-13 17:44:05,Carte de Crédit,VIP,3.53,Pop,2160.71,53,True
30,2018-02-10 04:13:08,PayPal,Standard,1.74,Hip-Hop,3709.9,91,False
31,2019-02-24 05:53:41,Carte de Crédit,Standard,2.63,Classique,1019.2,25,True
32,2022-01-20 10:45:00,PayPal,Famille,4.8,Hip-Hop,733.83,18,False
33,2018-04-06 18:27:10,Carte de Crédit,VIP,2.35,Hip-Hop,4729.11,116,True
34,2020-12-16 15:58:03,Espèces,Standard,1.13,Classique,1712.26,42,True
35,2021-03-09 19:17:39,Espèces,Standard,2.41,Aucune,2160.71,53,True
36,2022-03-16 15:33:43,Espèces,Famille,1.84,Jazz,6645.21,163,True
37,2020-01-18 18:18:35,Espèces,Famille,3.05,Rock,693.06,17,True
38,2022-05-01 06:20:40,Espèces,Standard,1.74,Aucune,407.68,10,False
39,2019-02-18 04:20:15,PayPal,Famille,1.86,Rock,6808.28,167,True
40,2019-05-19 17:03:14,Carte de Crédit,Standard,1.97,Hip-Hop,5748.31,141,False
41,2018-03-21 05:35:41,PayPal,Famille,1.62,Aucune,163.07,4,True
42,2020-01-10 06:14:26,PayPal,Eco,2.93,Pop,2813.0,69,True
43,2019-08-04 18:15:25,Espèces,Standard,4.31,Hip-Hop,203.84,5,False
44,2022-08-18 22:11:15,Espèces,Eco,3.94,Pop,3872.97,95,True
45,2019-05-04 04:31:07,Carte de Crédit,Famille,4.86,Pop,1304.58,32,True
46,2019-09-07 08:42:27,Espèces,Eco,1.57,Jazz,5707.54,140,False
47,2019-04-02 23:53:50,PayPal,VIP,2.64,Hip-Hop,4158.35,102,True
48,2020-07-29 15:36:53,PayPal,Standard,1.11,Classique,4973.71,122,False
49,2021-12-02 12:26:49,PayPal,Standard,3.33,Classique,7297.5,179,True
50,2020-02-19 05:16:26,Espèces,VIP,3.37,Classique,1100.74,27,True
51,2020-07-08 15:07:16,Espèces,Standard,4.67,Classique,7623.65,187,False
52,2022-05-19 08:51:30,Carte de Crédit,Famille,2.96,Jazz,2242.25,55,True
53,2021-08-21 13:27:08,Carte de Crédit,Famille,3.5,Classique,2038.41,50,True
54,2021-03-20 18:40:59,Carte de Crédit,Famille,1.31,Aucune,3954.51,97,True
55,2018-09-19 12:32:08,Espèces,Famille,1.91,Classique,3139.15,77,False
56,2019-11-18 09:35:07,PayPal,VIP,1.4,Hip-Hop,1997.64,49,True
57,2020-02-04 05:37:01,Carte de Crédit,Standard,2.93,Classique,7379.04,181,False
58,2019-12-06 07:59:57,PayPal,VIP,2.96,Hip-Hop,7215.96,177,True
59,2022-09-14 14:47:48,Carte de Crédit,VIP,3.18,Hip-Hop,733.83,18,True
60,2018-12-09 12:13:13,Espèces,Eco,4.17,Aucune,3587.6,88,True
61,2019-12-02 17:13:00,PayPal,Eco,3.76,Rock,2038.41,50,False
62,2022-11-24 02:41:57,PayPal,Standard,4.83,Jazz,366.91,9,True
63,2020-03-15 07:57:46,PayPal,Famille,2.41,Pop,326.15,8,True
64,2020-01-27 11:38:11,Espèces,VIP,2.59,Aucune,2160.71,53,True
65,2019-03-16 01:23:53,PayPal,VIP,4.58,Jazz,122.3,3,True
66,2018-03-11 14:55:35,Carte de Crédit,VIP,1.31,Jazz,1753.03,43,True
67,2018-10-27 16:44:53,Espèces,VIP,2.86,Hip-Hop,2364.55,58,True
68,2018-07-24 02:40:16,Espèces,Eco,3.5,Hip-Hop,3791.44,93,True
69,2022-08-10 05:07:34,PayPal,Eco,1.55,Rock,611.52,15,True
70,2021-10-10 22:09:39,PayPal,Standard,3.63,Aucune,6685.98,164,True
71,2018-02-09 12:29:39,Carte de Crédit,Standard,3.96,Hip-Hop,6685.98,164,True
72,2020-12-20 12:27:41,Carte de Crédit,Famille,3.73,Jazz,7868.25,193,False
73,2021-02-28 06:29:49,Espèces,Eco,1.56,Hip-Hop,4688.34,115,True
74,2019-03-08 06:03:55,Carte de Crédit,Famille,1.75,Jazz,611.52,15,True
75,2019-04-25 03:45:38,Carte de Crédit,Famille,3.67,Pop,6645.21,163,False
76,2018-02-04 22:54:44,PayPal,Famille,4.96,Aucune,5177.56,127,True
77,2019-12-19 09:28:24,Carte de Crédit,Standard,2.84,Classique,6563.67,161,True
78,2020-10-24 02:46:46,Espèces,Eco,2.06,Jazz,6400.6,157,True
79,2019-10-29 07:48:09,Espèces,Standard,3.84,Classique,4158.35,102,True
80,2018-08-27 19:39:31,PayPal,Eco,4.92,Hip-Hop,3179.92,78,True
81,2020-08-27 07:25:20,Carte de Crédit,Standard,4.96,Classique,2731.47,67,True
82,2022-02-10 13:07:16,Carte de Crédit,Standard,3.78,Rock,2976.08,73,True
83,2019-06-30 02:38:26,PayPal,Eco,2.24,Jazz,3995.28,98,True
