ID_Trajet,ID_Chauffeur,ID_Client,Date_Heure,Prix,Distance,Temps_Trajet,Type_Trajet,Conditions_Traffic,Notes_Client,Nombre_Passagers
1,244,174,2023-09-09 03:50:17,75.60386892094282,28.59,0 days 16:23:00,UberX,Moyen,Mauvais,4
2,357,442,2023-09-07 19:16:34,6.796150511606261,2.57,0 days 02:05:00,UberBlack,Faible,Bien,2
3,116,82,2023-09-29 08:20:12,30.014127745809756,11.35,0 days 07:30:00,UberBlack,Faible,Moyen,3
4,251,565,2023-05-28 09:52:51,51.698343385954246,19.55,0 days 16:08:00,UberSUV,Elevé,Mauvais,4
5,42,437,2023-10-03 21:00:16,50.34969094979892,19.04,0 days 18:54:00,UberSUV,Moyen,,4
6,101,237,2023-07-04 01:35:28,3.649294827243829,1.38,0 days 00:47:00,UberPool,Moyen,Moyen,4
7,313,436,2023-10-26 07:19:50,50.93146258892475,19.26,0 days 15:35:00,UberX,Elevé,Mauvais,2
8,425,997,2023-03-27 19:33:14,72.03390658994341,27.24,0 days 14:27:00,UberX,Moyen,Moyen,1
9,152,1342,2023-02-14 18:55:29,29.19435861795063,11.04,0 days 07:15:00,UberPool,Moyen,Mauvais,2
10,445,1441,2023-08-23 21:18:35,69.4159342138772,26.25,0 days 13:41:00,UberBlack,Moyen,Mauvais,2
11,40,354,2023-02-12 21:39:27,71.63724410872126,27.09,0 days 15:38:00,UberX,Elevé,,3
12,440,1054,2023-04-03 09:14:29,58.60027055921975,22.16,0 days 13:53:00,UberX,Faible,Mauvais,4
13,109,988,2023-01-20 03:09:33,25.75661711402529,9.74,0 days 06:42:00,UberSUV,Moyen,Mauvais,4
14,55,22,2023-04-22 12:26:03,5.421053910036123,2.05,0 days 01:12:00,UberX,Elevé,Bien,2
15,217,1341,2023-03-14 10:18:30,8.250579609420832,3.12,0 days 02:21:00,UberSUV,Faible,Bien,2
16,342,763,2023-08-18 04:10:45,65.1055352512631,24.62,0 days 12:40:00,UberX,Elevé,,4
17,458,254,2023-02-05 05:02:05,35.11785167086815,13.28,0 days 09:08:00,UberPool,Faible,Mauvais,2
18,109,1177,2023-04-29 04:18:11,12.190760256227575,4.61,0 days 04:20:00,UberBlack,Elevé,Mauvais,2
19,51,1335,2023-06-01 15:56:28,11.423879459198075,4.32,0 days 04:02:00,UberBlack,Faible,Moyen,4
20,155,745,2023-05-02 14:03:06,8.197691278591211,3.1,0 days 02:03:00,UberX,Faible,,1
