ID,Nom de la filiale,Pays,Région,Secteur d'activité,Type de production,Volume de production,Coût de production,Prix de vente,Revenu,Dépenses,Profit,Nombre d'employés,Taux d'accidents,Investissements en RD,Emissions de CO2,Efficacité énergétique,Date de création de la filiale,Date de dernier rapport financier,Note ESG,Statut légal,Part de marché
1,Huff Group,Lebanon,Jasonfurt,Production,Éolien,516,58204.1594274234,133223.4631757869,596805.1477515893,228653.3838958145,225332.5386256737,302,3.1048078955016543,458760.1105607553,1394.4513250173954,62.18732106946958,2003-08-01,2023-05-06,4.58,Partenariat,16.87
2,Garcia-Smith,Zambia,Port Katherine,Raffinage,Solaire,524,487214.6857659447,160390.99354188904,701945.8686708378,397230.695777558,479019.9079235205,478,7.815111744355185,183677.12899107733,3652.975734836909,90.54902846008058,1998-03-11,2023-01-25,79.6,Partenariat,24.09
3,Mills-Carroll,Armenia,North Kellyside,Production,Gaz,6752,286876.9981393944,328798.8182954418,954550.6194589132,80057.91715110888,196890.9547436743,2234,0.8956604045822125,225089.33613649197,9497.46486949558,22.73424091976865,1997-05-14,2023-10-05,42.7,Publique,57.66
4,Brewer-Mcintyre,Pakistan,Weissfurt,Distribution,Gaz,5410,345129.8848695952,216181.34019034207,118388.26498068764,181481.2774663449,372222.7006660353,4280,7.425016832577081,152576.4154187048,1198.3200404089846,99.32158041722468,2013-11-16,2023-06-23,81.64,Privée,58.07
5,Brown-Bryant,Slovakia (Slovak Republic),Barberland,Exploration,Solaire,6010,243033.1017116864,599279.212392221,902246.5338368051,409739.3641004718,338334.3078049767,4416,5.249950353779474,35238.27205152695,9594.689036299107,12.383848689457484,1999-04-24,2023-10-06,55.92,Privée,68.59
6,"Hernandez, Gonzalez and Mills",United States Virgin Islands,Medinatown,Production,Éolien,9625,318706.2085265648,101242.68921013895,950545.1729073614,313203.9687929326,311551.5046407089,4597,9.56989236037866,435077.1219340124,7257.815124498607,86.51134146792202,2009-10-18,2023-05-12,93.82,Partenariat,44.0
7,Waller PLC,United Kingdom,Lake Brandyshire,Exploration,Gaz,9240,311978.4361976343,208139.7024901884,946689.7750968876,418168.2393606288,95533.76941797264,4688,8.113486826372009,473416.7196303542,1538.4534211082307,94.33823316130646,2013-10-19,2023-01-06,43.29,Publique,83.82
8,"Brewer, Bennett and Beck",Luxembourg,Rojasborough,Renouvelables,Hydroélectrique,6122,492529.2605798519,598361.9897223795,189521.6405608482,218432.83026662047,203829.56592652336,3214,9.51270374853284,368114.0671383772,4268.80920554944,32.53312059627779,2019-12-10,2023-01-12,47.0,Publique,23.49
9,Thompson PLC,Kyrgyz Republic,Larryville,Exploration,Gaz,985,365179.05074726586,115342.1217981222,248317.260899828,223816.64578980656,473520.01133703504,3353,8.087565353948161,354239.847858928,5921.373009351565,72.10852236859127,2000-01-07,2023-05-07,17.04,Partenariat,50.8
10,Mitchell and Sons,Belgium,Dawnchester,Exploration,Solaire,3611,454249.14064725296,437327.9019515732,463379.257137319,307764.3720475032,383144.2649017618,2073,5.260051805397714,327707.76998458104,2600.5788615754127,56.9001309011319,2022-08-21,2023-11-29,96.26,Privée,94.5
11,Sweeney-Gonzalez,Palestinian Territory,Port Jenniferville,Production,Éolien,6519,106032.42879312512,410795.2315054649,122768.30399158648,485461.2101870802,290591.5849180675,4309,5.155298247986706,262521.1844611488,5794.543553150907,89.36444269299696,2002-05-07,2023-09-16,84.34,Partenariat,87.6
12,Gibson-Tran,Jamaica,Johnsonburgh,Distribution,Gaz,612,63472.06153555553,75345.94840627091,814852.2270446462,217876.4275057793,434904.8229856234,3076,1.306393415799535,488993.2436720197,3830.688950339996,16.008796342972456,2005-01-08,2023-04-13,15.58,Partenariat,13.42
13,Collins-Russo,Grenada,South William,Production,Pétrole,541,466120.630478054,142203.52345452557,815826.8287440578,226630.52588515848,486687.871929932,4494,4.1354356553073615,262857.5069281009,9283.05561554418,14.845444175965984,1996-02-28,2023-02-17,3.74,Publique,91.52
14,"Powell, Powers and Carr",Reunion,Robertchester,Distribution,Pétrole,3143,465432.2627159645,416569.32938266,351387.83957791503,72781.10023523997,71309.33213760049,921,5.435415436836872,242015.80057730232,9155.197057391351,75.34516202904948,2000-12-29,2023-06-08,94.52,Publique,24.83
15,Salinas-Santos,Algeria,East Carltown,Exploration,Gaz,4343,173429.5016451559,277661.5954603041,439619.8300481437,322996.5324904504,-34448.38994946511,1538,9.8789321152593,235994.1188424565,3092.717183593901,48.03415509633115,2012-07-09,2023-03-23,1.55,Publique,45.43
