ID_Client,Pays,TypeAbonnement,AppareilPrincipal,StatutCompte,GenrePrefere,ModePaiement,LanguePreferee,DateInscription,DateDernierPaiement,DateDebutAbonnement,DateFinAbonnement,DureeTotaleVisionnage,NombreConnexionsMois,MontantDernierPaiement,AgeUtilisateur,NombreFilmsRegardes,NombreEpisodesRegardes
1,Brésil,Standard,Tablette,Suspendu,Drame,Virement,Français,2020-08-17,2015-11-22,2018-12-18,2022-01-21,4096,96,9.69,20,90,219
2,USA,Basic,Mobile,Suspendu,Comédie,Virement,Allemand,2015-12-16,2016-12-30,2016-04-19,2022-06-15,275,36,7.43,43,1,252
3,Allemagne,Premium,Tablette,Actif,Sci-Fi,PayPal,Allemand,2021-07-04,2023-05-07,2019-12-01,2020-06-25,149,61,13.9,58,16,37
4,Japon,Premium,Tablette,Annulé,Sci-Fi,Chèque,Français,2023-04-24,2023-08-05,2015-03-08,2018-07-12,1566,72,6.16,60,49,201
5,Allemagne,Standard,TV,Annulé,Action,Chèque,Hindi,2016-07-17,2015-05-10,2022-03-25,2022-12-30,1312,19,8.28,32,62,283
6,France,Premium,PC,Suspendu,Documentaire,Carte de crédit,Japonais,2018-01-26,2019-09-25,2023-09-11,2024-01-04,3515,61,15.89,36,20,283
7,Canada,Standard,PC,Actif,Drame,Chèque,Allemand,2015-12-12,2023-06-09,2015-01-28,2018-07-02,1321,39,8.78,39,68,275
8,Inde,Standard,TV,Actif,Drame,Virement,Français,2021-08-01,2016-08-12,2021-12-16,2022-11-21,3705,53,7.65,21,77,224
9,France,Standard,Mobile,Suspendu,Drame,Carte de crédit,Français,2016-07-02,2020-09-19,2020-11-26,2020-12-23,1100,50,6.88,51,82,172
10,Allemagne,Premium,TV,Suspendu,Comédie,Virement,Japonais,2016-04-14,2018-10-22,2017-09-29,2020-05-31,3791,71,14.16,36,38,44
11,France,Standard,PC,Actif,Drame,Carte de crédit,Anglais,2015-05-27,2018-03-27,2016-04-29,2021-05-09,1727,62,9.94,54,29,273
12,Brésil,Basic,PC,Actif,Comédie,Virement,Français,2019-02-02,2023-11-26,2021-05-11,2021-07-25,646,9,7.16,67,51,17
13,USA,Standard,TV,Suspendu,Documentaire,PayPal,Anglais,2022-07-23,2020-06-29,2022-11-14,2023-02-16,3670,90,8.14,63,49,55
14,Canada,Premium,Mobile,Annulé,Sci-Fi,Carte de crédit,Espagnol,2017-05-11,2015-01-03,2017-05-06,2017-05-06,3728,31,15.84,61,11,223
15,France,Premium,TV,Actif,Comédie,PayPal,Espagnol,2018-10-03,2017-05-27,2017-09-08,2020-03-05,3074,62,13.37,68,17,154
16,USA,Basic,Tablette,Annulé,Action,Virement,Allemand,2015-08-10,2015-03-17,2022-07-31,2022-12-05,2700,91,7.37,47,2,222
17,France,Premium,Tablette,Annulé,Sci-Fi,Chèque,Hindi,2017-07-21,2017-11-14,2016-06-05,2023-06-24,2028,39,10.56,67,60,258
18,Japon,Standard,TV,Actif,Comédie,PayPal,Hindi,2022-07-06,2021-06-30,2019-05-28,2022-06-23,1409,70,12.45,37,29,87
19,Allemagne,Premium,PC,Annulé,Comédie,Virement,Hindi,2020-05-02,2018-09-09,2015-09-13,2021-09-25,4398,73,10.92,27,34,45
20,Allemagne,Standard,Tablette,Actif,Documentaire,PayPal,Japonais,2016-03-20,2016-01-27,2020-02-26,2020-08-16,529,61,10.77,28,24,248
21,Inde,Standard,Tablette,Suspendu,Documentaire,Carte de crédit,Français,2020-08-21,2020-09-26,2021-11-13,2022-05-02,4973,32,8.18,64,12,44
